Overall_Score,Property_Rights,Judicial_Effectiveness,Government_Integrity,Tax_Burden,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Continent,Investment_Freedom,Financial_Freedom,Legislation_Violence,Government_Spending,Name
54.7,41.7,42.9,35,74.8,18.3,59.2,67.5,73.7,87.6,Africa,50,40,0,65.6,Eswatini
53.6,32.6,40.9,35.1,77.2,83.3,48.6,58,60.8,60.8,Africa,35,20,1,90.4,Ethiopia
62.2,67.3,42.9,23.4,81.1,82.4,63,72.9,73.5,62.8,Oceania,55,50,1,71.7,Fiji
74.9,89.6,81.2,92.5,66.8,86.4,89.4,50.3,84.8,86,Europe,85,80,1,7.2,Finland
63.8,82.5,66.1,67.9,48.4,64.9,81.2,45.2,79.1,81,Europe,75,70,1,3.9,France
56.3,28.1,30.6,35.5,75.8,82.1,52.1,53,80,51.2,Africa,60,40,0,86.6,Gabon
75.9,65.9,54.6,58.5,87.1,93.9,85.8,76.6,76,88.6,Europe,80,70,1,73.6,Georgia
73.5,79.9,75.4,81.3,60.8,91.8,83.3,52.8,77.9,86,Europe,80,70,1,42.3,Germany
57.5,49.1,44.2,35.5,78.8,23.9,56.5,59.9,66.3,63.4,Africa,70,60,1,82,Ghana
57.7,52.4,49.5,37.7,59.1,79,74.1,52.5,79.1,81,Europe,55,50,1,23.3,Greece
62.6,40.3,32.3,26.4,79.2,96.2,53.6,48.7,77,82.2,Central America,70,50,1,95.6,Guatemala 
55.7,34.7,32.6,25.5,69.4,87.2,54.6,54.9,66.4,63.2,Oceania,50,40,0,89.8,Guinea
54,32.6,42.9,25.3,88.8,81.4,35.9,61.2,78.1,55.6,Africa,30,30,1,86.7,Guinea-Bissau
56.8,41.7,42.9,33.2,67,77.6,59.3,62,76.9,66.8,South America,55,30,1,69.4,Guyana
52.7,10.4,25.3,20.3,79.9,95.9,36.2,62.6,66.5,72,Central America,45,30,0,88.3,Haiti
60.2,43.4,31,25.3,82.8,95.9,56.9,32,73,79.4,Central America,65,60,1,78.2,Honduras 
90.2,93.3,75.3,83.8,93.1,100,96.4,89.2,86.4,95,Asia,90,90,1,90.3,Hong Kong
65,60.9,45.2,35.3,78.6,85,61.1,64.7,81.8,86,Europe,80,70,1,31.7,Hungary 
77.1,87.4,63.8,83.8,72.7,96.7,88.4,64.1,81.7,87,Europe,85,70,1,44,Iceland
55.2,57.3,61.6,47.8,79.4,14.7,57.1,41.8,72.4,72.4,Asia,40,40,1,77.3,India
65.8,52.2,53.5,39.5,83.7,88.1,69.3,49.3,77.4,79.8,Asia,45,60,1,91.4,Indonesia
51.1,33.5,41.3,35,80.9,89.5,62.2,50.7,60.1,54.6,Middle East,5,10,0,89.8,Iran
80.5,85.8,68.4,78,76.3,89,83.1,75.3,87,86,Europe,90,70,1,77.4,Ireland
72.8,80,73.4,67.9,61.9,85.3,71.4,65.1,86.2,84.4,Middle East,75,70,1,52.4,Israel
62.2,71.7,49.8,43.7,55.6,71.3,71.7,51.1,84,86,Europe,85,50,1,26.5,Italy
68.6,60.7,49.2,45,80.2,80,78,73.6,82.6,68.4,Central America,80,50,1,76,Jamaica 
72.1,84.1,68.5,78,68.2,55.7,80.5,79,85.9,80,Asia,70,60,1,55,Japan
66.5,58.4,52.6,50.3,91.4,60.6,61.8,52.7,85,81.4,Middle East,70,60,1,73.4,Jordan
65.4,59.3,56.1,40.3,93.4,41,73.9,86.2,70.9,80,Asia,50,50,1,83.7,Kazakhstan
55.1,53.8,46.9,32.1,79.5,13.8,55.8,63.4,72.7,60.4,Africa,55,50,1,77.8,Kenya
47.3,44.1,34.3,35.1,73,98.6,41.9,50.7,81.1,53.2,Oceania,25,30,1,0,Kiribati
67,57.2,53.5,44.7,92.5,96,73.8,64.9,78.3,70.8,Europe,65,30,1,77.7,Kosovo
60.8,52.9,43.3,35.3,97.7,99.1,57.4,61.7,70.6,79,Middle East,55,60,0,17.3,Kuwait
62.3,49.9,27.9,27.2,94.1,78.4,73.4,79.8,74.4,78.6,Asia,60,50,1,54.2,Kyrgyz Republic 
57.4,38.8,42.5,33.5,86.9,66.5,60.1,60.1,78.5,81.8,Asia,35,20,1,85.3,Laos
70.4,67.3,48.4,35.5,77,96.9,77.5,73.3,81.1,86,Europe,85,60,1,57.1,Latvia
51.1,39.5,26.6,18.2,91.8,0,47.9,46.5,78.1,79,Middle East,60,50,1,75.6,Lebanon
53.1,41.5,45.7,30.9,59.4,63.5,53.3,58.8,75,81,Africa,55,40,0,33,Lesotho
49.7,26.7,39,24.2,82.7,69.1,50.6,38.3,68.9,60.1,Africa,55,20,0,62.1,Liberia
74.2,73.6,61.2,47.8,86.4,97.3,75.2,63.6,84.6,86,Europe,80,70,1,65.1,Lithuania
75.9,83,72.4,85.8,65.4,98.9,68.8,45.9,82.6,86,Europe,95,80,1,46.6,Luxembourg
71,60,60,33.2,77.1,100,60,50,76.5,90,Asia,85,70,1,90.4,Macau
56.6,33.2,24.4,14.3,91,85.5,47.3,44.6,72.4,69.2,Africa,55,50,0,91.8,Madagascar
51.4,35.8,40.1,25.2,79.8,19.1,41.7,64,65.5,75.4,Africa,50,50,1,70.3,Malawi
